48,0.25,0,0.15,0,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0.06,0.19,0,0.25,0.18,0.07,0,0.25,0.13,0.12,0,0.25,0.25,0,0.04,0.21,0.25,0,,,,,,,,,,,,,,,,,,,,
49,0.25,0,0,0.25,0,0.25,0.25,0,0.15,0,0,0.25,0.18,0.07,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0.17,0,0,0,0,0,0,0.25,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,
50,0.25,0,0.02,0,0.25,0,0.25,0,0.25,0,0.25,0,0.09,0.16,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,,,,,,,,,,,,,,,,,,,,
51,0,0.23,0.15,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.21,0.04,0,0.25,0,0.25,0,0,0,0,0,0,0.11,0.14,0,0.25,0.18,0.07,0.25,0,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,
52,0,0,0.25,0,0,0,0.1,0,0.22,0.03,0,0.25,0,0.21,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.18,0,0,0,0.1,0,0,0,0.25,0,0,0.25,0.25,0,,,,,,,,,,,,,,,,,,,,
53,0,0,0,0,0.25,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0.1,0,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,
54,0,0.25,0.25,0,0,0.25,0.17,0,0,0,0.1,0,0.25,0,0.16,0.09,0,0.17,0,0.25,0,0.25,0,0.25,0,0.14,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
55,0,0,0.25,0,0,0.25,0.2,0,0,0,0.04,0.21,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.07,0,0,0.21,0.04,0,0,0,0,0.05,0.2,,,,,,,,,,,,,,,,,,,,
56,0.25,0,0,0.25,0,0.02,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0.25,0.03,0,0,0.25,0,0,0,0.25,0,0.15,,,,,,,,,,,,,,,,,,,,
57,0,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.03,0.22,0,0.09,0.22,0.03,0,0.25,0,0.25,0.25,0,0,0.25,0,0,,,,,,,,,,,,,,,,,,,,
58,0.25,0,0.25,0,0,0.25,0,0.25,0.07,0.18,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0.1,0,0,0,0.13,0,0.25,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,
59,0.25,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0.22,0.03,0,0.25,0.25,0,0.13,0,0.25,0,0.02,0,0.25,0,0,0,0.25,0,0.25,0,0,0.25,0.15,0,0,0.25,0.1,0,,,,,,,,,,,,,,,,,,,,
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.25,0.22,0,0,0,0,0,0,0,0,0,0.12,0.13,0,0,0,0,0,0.05,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
63,0,0.25,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0.15,0.1,0.25,0,0.25,0,0.25,0,0.01,0.24,0.25,0,0.25,0,0,0.25,0,0.25,,,,,,,,,,,,,,,,,,,,
64,0,0.17,0,0.02,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.2,0,0,0.06,0.03,0.22,0.12,0,0.08,0,0.25,0,0.06,0.19,0,0.25,0,0.23,0.16,0,,,,,,,,,,,,,,,,,,,,
65,0,0.25,0.04,0,0,0.21,0.25,0,0,0,0.25,0,0,0,0,0.25,0,0,0.1,0,0,0.25,0,0.22,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
66,0.25,0,0,0.25,0.08,0.17,0,0.25,0,0.25,0.1,0.15,0.01,0.24,0.08,0.17,0,0.25,0,0.25,0.16,0.09,0.25,0,0.25,0,0,0.25,0,0.25,0.14,0.11,0.14,0.11,0,0.02,0.25,0,0,0.25,,,,,,,,,,,,,,,,,,,,
67,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
68,0.15,0.1,0.25,0,0.25,0,0.25,0,0.07,0.18,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0.13,0,0.25,0,0.18,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,,,,,,,,,,,,,,,,,,,,
69,0,0.25,0.25,0,0,0,0,0,0,0.25,0.09,0.16,0.25,0,0.25,0,0.07,0.18,0.25,0,0,0,0.25,0,0.25,0,0.16,0,0.25,0,0,0.25,0.02,0,0.25,0,0.17,0,0,0.23,,,,,,,,,,,,,,,,,,,,
70,0,0.25,0.09,0.16,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0.25,0.2,0,0,0.25,0,0.25,0.25,0,0.25,0,0.13,0.12,0.25,0,0.25,0,0,0.25,0,0.25,,,,,,,,,,,,,,,,,,,,
71,0.15,0.1,0,0.25,0,0.25,0.06,0.19,0,0.25,0.25,0,0.08,0,0.25,0,0,0.25,0,0,0.18,0.07,0.25,0,0,0.25,0,0.25,0.1,0.15,0.25,0,0,0,0.18,0,0,0.25,0.25,0,,,,,,,,,,,,,,,,,,,,
72,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0.06,0,0,0.25,0,0,0,0,0,0.15,0,0.25,0,0.15,0.25,0,0,0,0,0,0,0.16,0.25,0,,,,,,,,,,,,,,,,,,,,
73,0,0,0,0.25,0.15,0,0.08,0.17,0,0.25,0.21,0.04,0.1,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0.01,0,0.25,0,,,,,,,,,,,,,,,,,,,,
74,0,0.25,0.13,0.12,0.24,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0.25,0,0,0.05,0,0,0,0,0.25,0,0.25,0,0.2,0.05,0,0.25,0,0,0.24,0,,,,,,,,,,,,,,,,,,,,
75,0,0,0.02,0.23,0,0,0,0.25,0.25,0,0.12,0,0.25,0,0,0,0,0.25,0,0.25,0,0.25,0,0.07,0,0.25,0.15,0,0.25,0,0.25,0,0.1,0,0,0,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,
76,0,0,0,0,0,0,0.23,0,0,0.02,0,0,0.21,0,0,0,0,0,0.25,0,0.07,0,0.25,0,0,0,0,0,0,0,0,0.06,0.21,0.04,0.25,0,0,0.25,0,0,,,,,,,,,,,,,,,,,,,,
77,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
78,0.25,0,0.25,0,0,0,0.25,0,0,0.25,0.01,0.24,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0.15,0.1,0.11,0.14,0,0,0,0,0.06,0.19,0.25,0,0.25,0,0,0.12,,,,,,,,,,,,,,,,,,,,
79,0,0,0,0,0,0.25,0,0.25,0,0,0,0.23,0,0,0.25,0,0.03,0,0,0.25,0.01,0,0,0,0.25,0,0,0.02,0,0.25,0,0,0.2,0.05,0,0,0,0.07,0.25,0,,,,,,,,,,,,,,,,,,,,
80,0,0.25,0.25,0,0.25,0,0.25,0,0.06,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0.08,0.16,0,0.25,0.25,0,0.25,0,0.25,0,0.05,0.2,0.01,0.24,,,,,,,,,,,,,,,,,,,,
81,0.25,0,0.06,0.19,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0.08,0.17,0.25,0,0.25,0,0.12,0,0.25,0,0,0,0.25,0,0,0.25,0.25,0,,,,,,,,,,,,,,,,,,,,
83,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0.09,0.16,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0.24,0.01,0,0.25,0,0.25,0,0,,,,,,,,,,,,,,,,,,,,
85,0,0.25,0.25,0,0,0,0.22,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0.15,0,0,0,0,0,0,0,0,0,0.25,0,0,0.23,0.02,,,,,,,,,,,,,,,,,,,,
87,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.07,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.14,0,,,,,,,,,,,,,,,,,,,,
90,0.08,0.17,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0.19,0.06,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0.19,0.06,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
92,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0.11,0.14,0.25,0,0.25,0,0.19,0.06,0.25,0,0,0.02,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0.23,0.02,0,0.25,,,,,,,,,,,,,,,,,,,,
93,0,0.25,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0.25,0,0,0.25,0.05,0.2,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0.18,,,,,,,,,,,,,,,,,,,,
95,0,0.22,0,0.25,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0.17,0.06,0,0,0,0.08,0.25,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
96,0.25,0,0,0,0.25,0,0,0,0,0.25,0,0,0.1,0,0.25,0,0.06,0,0,0,0.25,0,0.25,0,0.01,0,0.01,0,0,0,0,0,0,0,0.25,0,0.06,0.19,0,0,,,,,,,,,,,,,,,,,,,,
97,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0.23,0.02,0,0.25,0.18,0.07,0.25,0,0.02,0.23,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,,,,,,,,,,,,,,,,,,,,
98,0,0.25,0.25,0,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.04,0.21,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,,,,,,,,,,,,,,,,,,,,
99,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0.16,0.09,0.25,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0.08,0.08,0.17,0,0,,,,,,,,,,,,,,,,,,,,
100,0,0,0,0,0.25,0,0.25,0,0.11,0.14,0.04,0.21,0,0,0.15,0.1,0,0,0.11,0.14,0.09,0,0.25,0,0,0.25,0,0,0,0,0,0.16,0.25,0,0.25,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
101,0.17,0.08,0,0.1,0,0,0,0.25,0.13,0,0.03,0,0,0.01,0.04,0,0,0,0.21,0,0,0,0,0.24,0.25,0,0,0.13,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,
103,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0.11,0.14,0,0,0.25,0,0.19,0,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,
105,0,0.25,0,0.01,0.19,0.06,0.18,0.07,0,0.19,0.25,0,0.25,0,0,0.25,0,0.25,0.08,0.17,0.25,0,0.25,0,0.02,0.23,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,,,,,,,,,,,,,,,,,,,,
106,0,0.25,0,0,0,0,0,0,0,0,0,0,0.15,0.1,0.06,0,0.25,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.04,0.21,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,
107,0.25,0,0.16,0.09,0.07,0.1,0,0,0.25,0,0,0,0.25,0,0.1,0.1,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0.25,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0.15,0.1,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0.07,0.18,0,0,0,0.24,,,,,,,,,,,,,,,,,,,,
109,0.25,0,0.18,0.07,0,0,0.25,0,0,0.02,0,0.25,0.13,0,0.06,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0,0.25,0,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
110,0.06,0.19,0,0,0,0.05,0.25,0,0,0.13,0.25,0,0.14,0,0.25,0,0,0,0.25,0,0.1,0.15,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.08,0,0.25,0,0,0.25,,,,,,,,,,,,,,,,,,,,
111,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0.09,0.16,0.25,0,0.25,0,0.1,0,0.25,0,0.15,0,0,0,0.25,0,0.08,0,0,0,0.25,0,0,0,0.17,0,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,
112,0.25,0,0.25,0,0.25,0,0.15,0.1,0.25,0,0.25,0,0.25,0,0.25,0,0,0.24,0.25,0,0.25,0,0.23,0,0,0.25,0,0.24,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.15,,,,,,,,,,,,,,,,,,,,
113,0.25,0,0,0.25,0.25,0,0,0.25,0.18,0.07,0,0.25,0,0.25,0.24,0.01,0.07,0.18,0.07,0.18,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0.11,0.14,0.25,0,0,0.25,0.25,0,0,0.25,,,,,,,,,,,,,,,,,,,,
114,0,0,0.1,0.15,0,0,0.25,0,0.22,0,0.13,0.12,0.25,0,0,0,0,0,0.07,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0.03,0.22,0.25,0,0,0.25,,,,,,,,,,,,,,,,,,,,
116,0.2,0.05,0,0.25,0.25,0,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0.25,0,0.22,0.03,0,0.25,0,0.25,0.25,0,0.25,0,0.05,0.2,0,0.25,0,0.19,0.15,0.1,,,,,,,,,,,,,,,,,,,,
117,0.25,0,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0.25,0,0.04,0.21,0,0.1,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.01,0,0.25,0,,,,,,,,,,,,,,,,,,,,
117,0.25,0,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0.25,0,0.04,0.21,0,0.1,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.01,0,0.25,0,,,,,,,,,,,,,,,,,,,,
118,0,0.25,0,0.25,0,0.25,0.25,0,0.04,0,0.18,0,0.16,0,0.25,0,0,0.14,0,0.25,0.25,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0,0.2,0.05,0,0,0,0.25,0,0.25,,,,,,,,,,,,,,,,,,,,
121,0,0.25,0.25,0,0,0.25,0,0,0.03,0.22,0,0,0.24,0,0.25,0,0,0.05,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0.25,0,0.25,0.02,0,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
123,0.25,0,0.25,0,0.25,0,0,0.25,0,0,0.15,0.05,0.25,0,0.25,0,0.12,0.13,0.25,0,0.19,0.06,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0,0,0.25,0,0,,,,,,,,,,,,,,,,,,,,
124,0.25,0,0.23,0,0,0.15,0.25,0,0,0.25,0,0.25,0.19,0,0,0,0.03,0,0,0.17,0,0.02,0.25,0,0.11,0,0,0,0.09,0,0,0,0.13,0,0.06,0,0.23,0,0.25,0,,,,,,,,,,,,,,,,,,,,
125,0.25,0,0.25,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0.21,0.04,0,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0,0.25,0.21,0.04,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,
126,0,0.25,0,0.25,0.25,0,0,0.24,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0.24,0.01,0,0.25,0.25,0,0.25,0,0.18,0,,,,,,,,,,,,,,,,,,,,
127,0.01,0,0,0.21,0,0.25,0.11,0.14,0.25,0,0.06,0.19,0,0,0,0.25,0,0,0,0.25,0.07,0.02,0,0,0,0.25,0,0,0,0.25,0.25,0,0,0.25,0.08,0,0,0.16,0,0.25,,,,,,,,,,,,,,,,,,,,
128,0.25,0,0.25,0,0.25,0,0,0,0,0.02,0.25,0,0.25,0,0.06,0.19,0.25,0,0.25,0,0,0,0.05,0.2,0,0,0,0,0.07,0,0,0,0,0.25,0,0.25,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,
129,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,,,,,,,,,,,,,,,,,,,,
130,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0.13,0,0.08,0,0.25,0,0,0,0.23,0,0,0.25,0,0,0.25,0,0,0.1,0.25,0,0.25,0,0.15,0,0.25,0,0.12,0,0,0.25,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
132,0.25,0,0.25,0,0,0.09,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0.2,0.05,0,0,0,0.25,0,0,0,0,0,0.25,0.2,0.05,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,
133,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.24,0,0,0,0.24,0.01,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,
134,0.05,0.2,0.24,0.01,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0.08,0.17,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0.16,0.25,0,0.25,0,0.13,0,,,,,,,,,,,,,,,,,,,,
135,0,0,0,0.25,0,0,0.25,0,0,0,0.13,0,0,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
136,0,0.25,0,0.25,0,0.25,0.04,0,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0.22,0.03,0,0.25,0.1,0.15,0,0.25,0.25,0,0.1,0.15,0,0.25,0.25,0,0.25,0,0,0.25,0,0,,,,,,,,,,,,,,,,,,,,
137,0,0.25,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.18,0,0.25,0,0,0,0,0.25,0,0.23,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
138,0.25,0,0.04,0.21,0.05,0,0,0.25,0.02,0,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0.03,0,0.25,0,0.07,0.18,0.07,0,0,0,0.25,0,0,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,
139,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0.14,0.11,0,0.25,,,,,,,,,,,,,,,,,,,,
141,0.15,0,0.25,0,0.12,0.13,0.03,0.22,0,0,0.25,0,0.1,0.15,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0.15,0,0.25,0,0,0.25,0.23,0,0.17,0.08,0.25,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
142,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0.16,0,0,0.03,0,0,0,0.09,0.16,0.25,0,0,0,0.25,0,0.09,0,0.15,0.1,0.25,0,,,,,,,,,,,,,,,,,,,,
143,0.25,0,0.25,0,0,0.25,0,0,0.05,0.2,0.1,0.15,0.18,0.07,0.2,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,,,,,,,,,,,,,,,,,,,,
144,0,0.25,0,0.25,0.15,0,0,0,0,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0.17,0,0.25,0.09,0,0.05,0.2,0.25,0,0,0.25,0,0,0.19,0,0,0.25,0,0.25,,,,,,,,,,,,,,,,,,,,
145,0,0,0.16,0,0,0,0,0,0.25,0,0.25,0,0.23,0.02,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
146,0,0.25,0,0.25,0,0.25,0.12,0.13,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0.25,0,0.25,0.07,0.18,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,,,,,,,,,,,,,,,,,,,,
